step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,7.17375,0.5,8.54365,0.0
2,7.47498,0.5,,
3,6.52977,0.5,,
4,10.4663,0.33333,,
5,5.79289,0.5,,
6,7.19348,0.33333,,
7,7.04754,0.33333,,
8,4.46017,0.5,,
9,5.38236,0.5,,
10,3.3904,0.5,,
11,2.96841,0.75,2.60808,0.25
12,3.13001,0.66667,,
13,2.77681,0.75,,
14,1.56322,0.66667,,
15,1.89011,0.75,,
16,0.84378,0.75,,
17,0.67856,0.66667,,
18,2.33624,0.66667,,
19,1.93576,0.66667,,
20,0.1186,1.0,,
21,0.09113,1.0,0.63166,0.5
22,0.55246,0.75,,
23,0.48963,0.75,,
24,0.46028,0.66667,,
25,0.28846,0.75,,
26,0.16639,1.0,,
27,0.70818,0.66667,,
28,0.7965,0.66667,,
29,0.76286,0.75,,
30,0.56437,0.75,,
31,0.19566,1.0,0.37679,0.0
32,0.99098,0.66667,,
33,0.34799,0.75,,
34,0.39097,0.75,,
35,0.36385,0.66667,,
36,0.55653,0.66667,,
37,0.39332,1.0,,
38,0.27688,1.0,,
39,0.14368,1.0,,
40,0.47604,0.75,,
41,0.48489,0.75,0.12894,0.0
42,0.12087,1.0,,
43,0.58849,0.75,,
44,0.83274,0.75,,
45,1.2395,0.75,,
46,1.41675,0.66667,,
47,0.28257,0.75,,
48,0.46819,0.66667,,
49,0.39843,0.75,,
50,0.0672,1.0,,
51,0.16679,1.0,0.285,0.0
52,0.04253,1.0,,
53,0.15819,1.0,,
54,0.37429,0.75,,
55,0.18909,1.0,,
56,0.02899,1.0,,
57,0.4778,0.75,,
58,0.04961,1.0,,
59,0.00538,1.0,,
60,1.348,0.66667,,
61,0.09622,1.0,3.33078,0.0
62,0.96006,0.75,,
63,0.78638,0.75,,
64,0.00138,1.0,,
65,0.01572,1.0,,
66,0.00531,1.0,,
67,0.00041,1.0,,
68,0.15446,1.0,,
69,0.7945,0.66667,,
70,0.01169,1.0,,
71,0.00155,1.0,1.89608,0.0
72,6e-05,1.0,,
73,0.00921,1.0,,
74,5e-05,1.0,,
75,2e-05,1.0,,
76,1e-05,1.0,,
77,0.28163,0.75,,
78,2.41977,0.75,,
79,0.00321,1.0,,
80,4.08421,0.66667,,
81,1e-05,1.0,5.03006,0.0
82,0.0,1.0,,
83,11.11537,0.66667,,
84,2.34856,0.66667,,
85,1.10679,0.75,,
86,0.0,1.0,,
87,0.0,1.0,,
88,1e-05,1.0,,
89,3.1247,0.66667,,
90,0.00013,1.0,,
91,0.0,1.0,0.0,0.5
92,0.0,1.0,,
93,0.00084,1.0,,
94,5.62586,0.66667,,
95,0.0,1.0,,
96,7.64625,0.66667,,
97,0.0,1.0,,
98,0.011,1.0,,
99,1e-05,1.0,,
100,2e-05,1.0,,
101,0.0,1.0,0.01804,0.5
102,2.47743,0.66667,,
103,8e-05,1.0,,
104,1e-05,1.0,,
105,0.0,1.0,,
106,0.81865,0.66667,,
107,0.0,1.0,,
108,0.0,1.0,,
109,0.0,1.0,,
110,3.83538,0.66667,,
111,0.0,1.0,0.0,0.25
112,0.0,1.0,,
113,0.0,1.0,,
114,4.27594,0.66667,,
115,0.00064,1.0,,
116,6.16481,0.75,,
117,0.0602,1.0,,
118,5.15497,0.66667,,
119,0.05944,1.0,,
120,0.0,1.0,,
121,0.88825,0.66667,1.58811,0.0
122,1.9723,0.75,,
123,1.25805,0.75,,
124,0.0,1.0,,
125,0.0,1.0,,
126,0.0,1.0,,
127,0.0,1.0,,
128,0.46692,0.75,,
129,0.0,1.0,,
130,0.0,1.0,,
131,4e-05,1.0,0.0,0.5
132,4.44069,0.75,,
133,3.71505,0.75,,
134,0.0,1.0,,
135,0.0,1.0,,
136,0.0,1.0,,
137,0.00325,1.0,,
138,1.15424,0.66667,,
139,0.07971,1.0,,
140,0.00401,1.0,,
141,0.00027,1.0,0.0,0.5
142,5.03626,0.66667,,
143,0.00014,1.0,,
144,0.0,1.0,,
145,2e-05,1.0,,
146,2.80117,0.66667,,
147,0.0,1.0,,
148,0.12337,1.0,,
149,0.0,1.0,,
150,0.0,1.0,,
151,0.0,1.0,9.19478,0.0
152,0.0,1.0,,
153,3.22506,0.66667,,
154,5.74924,0.75,,
155,3.79345,0.75,,
156,0.0,1.0,,
157,1.12074,0.66667,,
158,0.0,1.0,,
159,0.0,1.0,,
160,0.76158,0.75,,
161,0.0,1.0,6.39961,0.0
162,0.0,1.0,,
163,0.0,1.0,,
164,8e-05,1.0,,
165,0.0,1.0,,
166,0.0,1.0,,
167,0.0,1.0,,
168,0.0,1.0,,
169,0.0,1.0,,
170,0.0,1.0,,
171,0.84088,0.66667,9.87574,0.0
172,0.0,1.0,,
173,0.0,1.0,,
174,0.0,1.0,,
175,0.0,1.0,,
176,0.0,1.0,,
177,0.0,1.0,,
178,9.52872,0.66667,,
179,0.0,1.0,,
180,0.0,1.0,,
181,0.0,1.0,8.7896,0.0
182,0.0,1.0,,
183,0.0,1.0,,
184,3.47184,0.75,,
185,0.0,1.0,,
186,3.98071,0.75,,
187,0.0,1.0,,
188,0.0,1.0,,
189,0.0,1.0,,
190,0.0,1.0,,
191,0.0,1.0,13.88406,0.0
192,0.0,1.0,,
193,0.0,1.0,,
194,0.0,1.0,,
195,0.0,1.0,,
196,0.00813,1.0,,
197,0.0,1.0,,
198,0.0,1.0,,
199,0.0,1.0,,
200,5e-05,1.0,,
201,0.0,1.0,0.0,0.0
202,0.10649,1.0,,
203,3.77394,0.66667,,
204,0.0,1.0,,
205,0.0,1.0,,
206,0.0,1.0,,
207,0.00091,1.0,,
208,4.53805,0.66667,,
209,0.0,1.0,,
210,0.0,1.0,,
211,0.0,1.0,0.0,0.5
212,0.0,1.0,,
213,0.0,1.0,,
214,3.11046,0.75,,
215,0.0,1.0,,
216,0.0,1.0,,
217,0.0,1.0,,
218,0.0,1.0,,
219,0.0,1.0,,
220,0.0,1.0,,
221,4.33346,0.75,5.50026,0.25
222,0.40143,0.75,,
223,1.75394,0.75,,
224,0.0,1.0,,
225,0.0,1.0,,
226,2.04217,0.75,,
227,10.60272,0.66667,,
228,0.0,1.0,,
229,0.0,1.0,,
230,0.00067,1.0,,
231,0.0,1.0,6.64294,0.0
232,0.0,1.0,,
233,0.0,1.0,,
234,0.86296,0.75,,
235,0.0,1.0,,
236,4.19597,0.66667,,
237,0.0,1.0,,
238,0.00062,1.0,,
239,0.0,1.0,,
240,0.0,1.0,,
